CIP13;Designation;Product;ATC2_code;ATC2;ATC3_code;ATC3;ATC5_code;ATC5
3400930066522;Atorvastatine evp 80mg cpr 30;Atorvastatine evp;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400930066539;Atorvastatine evp 80mg cpr 90;Atorvastatine evp;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400930066546;Modopar 62,5 (50mg/12,5mg) gelule 60;Modopar;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BA02;Levodopa et inhibiteur de la decarboxylase
3400930066560;Modopar 125 (100mg/25mg) gelule 60;Modopar;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BA02;Levodopa et inhibiteur de la decarboxylase
3400930066607;Modopar 250 (200mg/50mg) gelule 60;Modopar;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BA02;Levodopa et inhibiteur de la decarboxylase
3400930066638;Modopar lp 125 (100mg/25mg) gelule 60;Modopar lp;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BA02;Levodopa et inhibiteur de la decarboxylase
3400930066669;Modopar 125 (100mg/25mg) cpr 60;Modopar;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BA02;Levodopa et inhibiteur de la decarboxylase
3400930066690;Leeloo continu 100/20 mcg cpr 28;Leeloo continu;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03A1;Contraceptifs monophasiques doses a moins de 0,050mg d'oestrogene;G03AA07;Levonorgestrel et estrogene
3400930066713;Leeloo continu 100/20 mcg cpr 84;Leeloo continu;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03A1;Contraceptifs monophasiques doses a moins de 0,050mg d'oestrogene;G03AA07;Levonorgestrel et estrogene
3400930066737;Levonor/ethinyl bgacont 100/20mcg cp 84;Levonor/ethinyl bgacont;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03A1;Contraceptifs monophasiques doses a moins de 0,050mg d'oestrogene;G03AA07;Levonorgestrel et estrogene
3400930066874;Artane 2mg cpr 50;Artane;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04AA01;Trihexyphenidyl
3400930066935;Artane 5mg cpr 20;Artane;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04AA01;Trihexyphenidyl
3400930067024;Beclometasone tvc 400mcg inh unidose 20;Beclometasone tvc;R03;Medicaments pour les syndromes obstructifs des voies aeriennes;R03D1;Corticoides, a inhaler;R03BA01;Beclometasone
3400930067116;Beclometasone tvc 800mcg inh unidose 20;Beclometasone tvc;R03;Medicaments pour les syndromes obstructifs des voies aeriennes;R03D1;Corticoides, a inhaler;R03BA01;Beclometasone
3400930067314;Epclusa 400 mg/100mg cpr 28;Epclusa;J05;Antiviraux a usage systemique;J05B1;Medicaments contre l'hepatite virale;J05AP55;Sofosbuvir et velpatasvir
3400930067390;Acebutolol bga 200 mg cpr 30;Acebutolol bga;C07;Betabloquants;C07A;Betabloquants non associes;C07AB04;Acebutolol
3400930067444;Frakidex collyre fl c-gtt 5ml 1;Frakidex collyre fl c-gtt;S01;Medicaments ophtalmologiques;S01C1;Associations de corticoides et d'antiinfectieux ophtalmiques;S01CA01;Dexamethasone et antiinfectieux
3400930067550;Cosimprel 5 mg/ 10 mg cpr 30;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067567;Cosimprel 5 mg/ 10 mg cpr 90;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067574;Cosimprel 10 mg/5 mg cpr 30;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067581;Cosimprel 10 mg/5 mg cpr 90;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067598;Cosimprel 10 mg/10 mg cpr 30;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067604;Cosimprel 10 mg/10 mg cpr 90;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067611;Cosimprel 5 mg/ 5 mg cpr 30;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067628;Cosimprel 5 mg/ 5 mg cpr 90;Cosimprel;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B9;Associations iec et toute autre substance active;C09BX02;Perindopril et bisoprolol
3400930067680;Ezetimibe zyd 10mg cpr 28;Ezetimibe zyd;C10;Agents modifiant les lipides;C10A9;Autres regulateurs du cholesterol et des triglycerides;C10AX09;Ezetimibe
3400930067710;Ezetimibe zyd 10mg cpr 90;Ezetimibe zyd;C10;Agents modifiant les lipides;C10A9;Autres regulateurs du cholesterol et des triglycerides;C10AX09;Ezetimibe
3400930067727;Vaxigriptetra susp inj ser 0.5ml a/a 1;Vaxigriptetra susp inj ser;J07;Vaccins;J07A1;Grippe;J07BB02;Grippe, inactive, split virus ou antigene surface
3400930067758;Vaxigriptetra susp inj ser 0.5ml a/a 1;Vaxigriptetra susp inj ser;J07;Vaccins;J07A1;Grippe;J07BB02;Grippe, inactive, split virus ou antigene surface
3400930067833;Rasagiline bga 1mg cpr 30;Rasagiline bga;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BD02;Rasagiline
3400930067840;Novatrex 2,5mg cpr 12;Novatrex;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930067857;Tiapride myl 100 mg cpr 20;Tiapride myl;N05;Psycholeptiques;N05A9;Antipsychotiques conventionnels;N05AL03;Tiapride
3400930067963;Imatinib myl 100mg cpr 60;Imatinib myl;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE01;Imatinib
3400930067970;Imatinib myl 400mg cpr 30;Imatinib myl;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE01;Imatinib
3400930068144;Rosuvastatine pfp 5mg cpr 30;Rosuvastatine pfp;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930068236;Rosuvastatine pfp 20mg cpr 30;Rosuvastatine pfp;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930068274;Rosuvastatine pfp 10mg cpr 30;Rosuvastatine pfp;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930068519;Oxycodone arw 5mg gelule 14;Oxycodone arw;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930068571;Oxycodone arw 10mg gelule 14;Oxycodone arw;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930068649;Oxycodone arw 20mg gelule 14;Oxycodone arw;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930068724;Domperidone tvc 10mg cpr 20;Domperidone tvc;A03;Medicaments pour les desordres fonctionnels gastro-intestinaux;A03F;Medicaments de la motricite digestive;A03FA03;Domperidone
3400930068786;Domperidone zen 10mg cpr 20;Domperidone zen;A03;Medicaments pour les desordres fonctionnels gastro-intestinaux;A03F;Medicaments de la motricite digestive;A03FA03;Domperidone
3400930068823;Oxycodone sdz 5mg gelule 14;Oxycodone sdz;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930068892;Oxycodone sdz 10mg gelule 14;Oxycodone sdz;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930068960;Oxycodone sdz 20mg gelule 14;Oxycodone sdz;N02;Analgesiques;N02A;Narcotiques;N02AA05;Oxycodone
3400930069097;Amoxicilline crt 500mg gelule 12;Amoxicilline crt;J01;Antibacteriens a usage systemique;J01C1;Penicillines orales a large spectre;J01CA04;Amoxicilline
3400930069110;Bisoprolol eg 5mg cpr 30;Bisoprolol eg;C07;Betabloquants;C07A;Betabloquants non associes;C07AB07;Bisoprolol
3400930069134;Bisoprolol eg 5mg cpr 90;Bisoprolol eg;C07;Betabloquants;C07A;Betabloquants non associes;C07AB07;Bisoprolol
3400930069189;Bisoprolol eg 5mg cpr 90;Bisoprolol eg;C07;Betabloquants;C07A;Betabloquants non associes;C07AB07;Bisoprolol
3400930069226;Bisoprolol eg 7,5mg cpr 30;Bisoprolol eg;C07;Betabloquants;C07A;Betabloquants non associes;C07AB07;Bisoprolol
3400930069301;Tenofovir diso eg 245 mg cpr 30;Tenofovir diso eg;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AF07;Tenofovir disoproxil
3400930069325;Tenofovir diso bga 245 mg cpr 30;Tenofovir diso bga;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AF07;Tenofovir disoproxil
3400930069349;Vona 3mg cpr 4;Vona;P02;Anthelminthiques;P01B;Anthelminthiques, schistosomicides exclus;P02CF01;Ivermectine
3400930069417;Emtricitabin tenof bga 200/245mg cpr 30;Emtricitabin tenof bga;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AR03;Tenofovir disoproxil et emtricitabine
3400930069424;Emtricitabin tenof eg 200/245mg cpr 30;Emtricitabin tenof eg;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AR03;Tenofovir disoproxil et emtricitabine
3400930069455;Gliclazide evo lm 60mg cpr 30;Gliclazide evo lm;A10;Medicaments du diabete;A10H;Antidiabetiques sulfamides;A10BB09;Gliclazide
3400930069479;Gliclazide evo lm 60mg cpr 90;Gliclazide evo lm;A10;Medicaments du diabete;A10H;Antidiabetiques sulfamides;A10BB09;Gliclazide
3400930069561;Gliclazide crt lm 60mg cpr 30;Gliclazide crt lm;A10;Medicaments du diabete;A10H;Antidiabetiques sulfamides;A10BB09;Gliclazide
3400930069585;Gliclazide crt lm 60mg cpr 90;Gliclazide crt lm;A10;Medicaments du diabete;A10H;Antidiabetiques sulfamides;A10BB09;Gliclazide
3400930069608;Ascofer 33mg gelule 30;Ascofer;B03;Preparations antianemiques;B03A1;Fer non associe;B03AA10;Ascorbate ferreux
3400930070062;Valganciclovir acc 450mg cpr 60;Valganciclovir acc;J05;Antiviraux a usage systemique;J05B3;Antiviraux contre l'herpes;J05AB14;Valganciclovir
3400930070192;Irbesartan hctz myl 150/12,5mg cpr 30;Irbesartan hctz myl;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400930070345;Irbesartan hctz myl 300/12,5mg cpr 30;Irbesartan hctz myl;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400930070383;Irbesartan hctz myl 300/12,5mg cpr 90;Irbesartan hctz myl;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400930070505;Irbesartan hctz myl 300/25mg cpr 30;Irbesartan hctz myl;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400930070536;Irbesartan hctz myl 300/25mg cpr 90;Irbesartan hctz myl;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400930070567;Lansoprazole arw 30 mg cpr orod 14;Lansoprazole arw;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC03;Lansoprazole
3400930070574;Lansoprazole arw 30 mg cpr orod 28;Lansoprazole arw;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC03;Lansoprazole
3400930070598;Lansoprazole arw 15 mg cpr orod 14;Lansoprazole arw;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC03;Lansoprazole
3400930070604;Lansoprazole arw 15 mg cpr orod 28;Lansoprazole arw;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC03;Lansoprazole
3400930071007;Carvedilol arw 6,25 mg cpr 28;Carvedilol arw;C07;Betabloquants;C07A;Betabloquants non associes;C07AG02;Carvedilol
3400930071106;Carvedilol arw 12,5 mg cpr 28;Carvedilol arw;C07;Betabloquants;C07A;Betabloquants non associes;C07AG02;Carvedilol
3400930071199;Carvedilol arw 25 mg cpr 28;Carvedilol arw;C07;Betabloquants;C07A;Betabloquants non associes;C07AG02;Carvedilol
3400930071533;Tamsulosine zen lp 0,4mg cpr 30;Tamsulosine zen lp;G04;Medicaments urologiques;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;G04CA02;Tamsulosine
3400930071700;Hexvix 85 mg pdr intravesicale srg 1;Hexvix;V04;Medicaments pour diagnostic;T01X;Autres produits d'imagerie;V04CX;Autres medicaments pour diagnostic
3400930071724;Duloxetine myp 30 mg gelule 28;Duloxetine myp;N06;Psychoanaleptiques;N06A5;Antidepresseurs inhibiteurs de recapture de serotonine et noradrenaline;N06AX21;Duloxetine
3400930071731;Duloxetine myp  60mg gelule 28;Duloxetine myp;N06;Psychoanaleptiques;N06A5;Antidepresseurs inhibiteurs de recapture de serotonine et noradrenaline;N06AX21;Duloxetine
3400930071762;Mikicort 9 mg granules sachet 30;Mikicort;A07;Antidiarrheiques, antiinflammatoires et antiinfectieux intestinaux;H02A2;Corticosteroides oraux non associes;A07EA06;Budesonide
3400930071854;Metformine myp 500mg cpr 30;Metformine myp;A10;Medicaments du diabete;A10J1;Antidiabetiques biguanides non associes;A10BA02;Metformine
3400930071878;Metformine myp 850mg cpr 30;Metformine myp;A10;Medicaments du diabete;A10J1;Antidiabetiques biguanides non associes;A10BA02;Metformine
3400930071892;Metformine myp 1 000 mg cpr 30;Metformine myp;A10;Medicaments du diabete;A10J1;Antidiabetiques biguanides non associes;A10BA02;Metformine
3400930071922;Dopaceptin 30 mg sol inj cart 5;Dopaceptin;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BC07;Apomorphine
3400930071991;Celiprolol bga 200mg cpr 84;Celiprolol bga;C07;Betabloquants;C07A;Betabloquants non associes;C07AB08;Celiprolol
3400930072110;Ibuprofene acc 200mg cpr pell 30;Ibuprofene acc;M01;Antiinflammatoires et antirhumatismaux;N02B;Non narcotiques et antipyretiques;M01AE01;Ibuprofene
3400930072394;Rosuvastatine arw 5mg cpr 30;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072431;Rosuvastatine arw 5mg cpr 90;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072561;Rosuvastatine arw 10mg cpr 30;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072608;Rosuvastatine arw 10mg cpr 90;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072745;Rosuvastatine arw 20mg cpr 30;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072783;Rosuvastatine arw 20mg cpr 90;Rosuvastatine arw;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930072837;Levocetirizine evo 5mg cpr 28;Levocetirizine evo;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AE09;Levocetirizine
3400930072899;Duloxetine bga 30mg gelule 28;Duloxetine bga;N06;Psychoanaleptiques;N06A5;Antidepresseurs inhibiteurs de recapture de serotonine et noradrenaline;N06AX21;Duloxetine
3400930072905;Duloxetine bga 60mg gelule 28;Duloxetine bga;N06;Psychoanaleptiques;N06A5;Antidepresseurs inhibiteurs de recapture de serotonine et noradrenaline;N06AX21;Duloxetine
3400930072943;Tamsulosine bga lp 0,4mg gelule 30;Tamsulosine bga lp;G04;Medicaments urologiques;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;G04CA02;Tamsulosine
3400930073308;Tenofovir diso zen 245 mg cpr 30;Tenofovir diso zen;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AF07;Tenofovir disoproxil
3400930073513;Fraxiparine 3800ui axa/0,4ml sol inj 10;Fraxiparine;B01;Antithrombotiques;B01B2;Heparines fractionnees;B01AB06;Nadroparine
3400930073520;Cabometyx 20 mg cpr 30;Cabometyx;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE26;Cabozantinib
3400930073537;Cabometyx 40 mg cpr 30;Cabometyx;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE26;Cabozantinib
3400930073544;Cabometyx 60 mg cpr 30;Cabometyx;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE26;Cabozantinib
3400930073728;Bimatoprost eg 0,9 mg collyre sol 1;Bimatoprost eg;S01;Medicaments ophtalmologiques;S01E2;Myotiques et antiglaucomateux a usage topique;S01EE03;Bimatoprost
3400930073766;Bimatoprost myp 0,9 mg collyre sol 1;Bimatoprost myp;S01;Medicaments ophtalmologiques;S01E2;Myotiques et antiglaucomateux a usage topique;S01EE03;Bimatoprost
3400930073803;Rosuvastatine alm 5mg cpr 30;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073810;Rosuvastatine alm 5mg cpr 90;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073841;Rosuvastatine alm 10mg cpr 30;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073865;Rosuvastatine alm 10mg cpr 90;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073896;Rosuvastatine alm 20mg cpr 30;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073902;Rosuvastatine alm 20mg cpr 90;Rosuvastatine alm;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA07;Rosuvastatine
3400930073957;Ezetimibe alt 10mg cpr 28;Ezetimibe alt;C10;Agents modifiant les lipides;C10A9;Autres regulateurs du cholesterol et des triglycerides;C10AX09;Ezetimibe
3400930073988;Ezetimibe alt 10mg cpr 90;Ezetimibe alt;C10;Agents modifiant les lipides;C10A9;Autres regulateurs du cholesterol et des triglycerides;C10AX09;Ezetimibe
3400930074282;Imatinib arl 100 mg cpr 60;Imatinib arl;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE01;Imatinib
3400930074404;Imatinib arl 400 mg cpr 30;Imatinib arl;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE01;Imatinib
3400930074589;Amoxicilline eg 1g cp disp 6;Amoxicilline eg;J01;Antibacteriens a usage systemique;J01C1;Penicillines orales a large spectre;J01CA04;Amoxicilline
3400930074596;Amoxicilline eg 1g cp disp 14;Amoxicilline eg;J01;Antibacteriens a usage systemique;J01C1;Penicillines orales a large spectre;J01CA04;Amoxicilline
3400930074695;Copaxone 40 mg sol inj ser 12;Copaxone;L03;Immunostimulants;L03A9;Tous autres immunostimulants, interferons exclus;L03AX13;Glatiramere acetate
3400930074756;Ivermectine arw 3mg cpr 4;Ivermectine arw;P02;Anthelminthiques;P01B;Anthelminthiques, schistosomicides exclus;P02CF01;Ivermectine
3400930074848;Escitalopram myl 10 mg cpr 28;Escitalopram myl;N06;Psychoanaleptiques;N06A4;Antidepresseurs inhibiteurs selectifs de la recapture de serotonine (ssri);N06AB10;Escitalopram
3400930074879;Escitalopram myl 15mg cpr 28;Escitalopram myl;N06;Psychoanaleptiques;N06A4;Antidepresseurs inhibiteurs selectifs de la recapture de serotonine (ssri);N06AB10;Escitalopram
3400930074893;Escitalopram myl 20mg cpr 28;Escitalopram myl;N06;Psychoanaleptiques;N06A4;Antidepresseurs inhibiteurs selectifs de la recapture de serotonine (ssri);N06AB10;Escitalopram
3400930074985;Enstilar 50 mcg/0.5mg/g mousse cut 1;Enstilar;D05;Medicaments contre le psoriasis;D05A;Antipsoriasiques topiques;D05AX52;Calcipotriol en association
3400930075005;Nordimet 7,5 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075012;Nordimet 10 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075029;Nordimet 12,5 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075036;Nordimet 15 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075043;Nordimet 17,5 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075067;Nordimet 20 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075074;Nordimet 22,5 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075081;Nordimet 25 mg sol inj stylo 4;Nordimet;L04;Immunosuppresseurs;L04X;Autres immunosuppresseurs;L04AX03;Methotrexate
3400930075104;Dotarem 0,5 mmol/ml inj ser 15ml+med 1;Dotarem;V08;Produits de contraste;T01E;Produits pour irm;V08CA02;Gadoterique acide
3400930075128;Dotarem 0,5mmol/ml inj ser 20ml+ med 1;Dotarem;V08;Produits de contraste;T01E;Produits pour irm;V08CA02;Gadoterique acide
3400930075142;Nasonex 50 mcg/dose susp nasale 140 1;Nasonex;R01;Preparations nasales;R01A1;Corticoides sans antiinfectieux a usage nasal;R01AD09;Mometasone
3400930075210;Simvastatine bga 20mg cpr 28;Simvastatine bga;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA01;Simvastatine
3400930075272;Ibrance 75 mg gelule 21;Ibrance;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE33;Palbociclib
3400930075296;Ibrance 100mg gelule 21;Ibrance;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE33;Palbociclib
3400930075302;Ibrance 125 mg gelule 21;Ibrance;L01;Antineoplasiques;L01H;Inhibiteurs de proteine-kinase antineoplasiques;L01XE33;Palbociclib
3400930075333;Mupirocine myl 2 % pommade 1;Mupirocine myl;D06;Antibiotiques et chimiotherapie a usage dermatologique;D06A;Antibiotiques a usage topique;D06AX09;Mupirocine
3400930075357;Mupirocine arw 2 % pommade 1;Mupirocine arw;D06;Antibiotiques et chimiotherapie a usage dermatologique;D06A;Antibiotiques a usage topique;D06AX09;Mupirocine
3400930075364;Mupirocine sdz 2 % pommade 1;Mupirocine sdz;D06;Antibiotiques et chimiotherapie a usage dermatologique;D06A;Antibiotiques a usage topique;D06AX09;Mupirocine
3400930076163;Mupirocine pfa 2 % pommade 1;Mupirocine pfa;D06;Antibiotiques et chimiotherapie a usage dermatologique;D06A;Antibiotiques a usage topique;D06AX09;Mupirocine
3400930076194;Mupirocine eg 2 % pommade 1;Mupirocine eg;D06;Antibiotiques et chimiotherapie a usage dermatologique;D06A;Antibiotiques a usage topique;D06AX09;Mupirocine
3400930076279;Zytiga 500 mg cpr 60;Zytiga;L02;Therapeutique endocrine;L02B9;Autres antihormones cytostatiques;L02BX03;Abiraterone
3400930076286;Cimzia 200 mg sol inj stylo 1ml 2;Cimzia;L04;Immunosuppresseurs;L04B;Medicaments anti-tnf;L04AB05;Certolizumab pegol
3400930076385;Levetiracetam zen 250mg cpr 60;Levetiracetam zen;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400930076439;Levetiracetam zen 500mg cpr 60;Levetiracetam zen;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400930076507;Levetiracetam zen 1 000 mg cpr 60;Levetiracetam zen;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400930076545;Perinutriflex omega e perf 1250ml 5;Perinutriflex omega e perf;B05;Substituts du sang et solutions de perfusion;K01D2;Emulsions lipidiques en association;B05BA10;Associations
3400930076552;Perinutriflex omega e perf 1875ml 5;Perinutriflex omega e perf;B05;Substituts du sang et solutions de perfusion;K01D2;Emulsions lipidiques en association;B05BA10;Associations
3400930076576;Amoxicilline egl 500mg gelule 12;Amoxicilline egl;J01;Antibacteriens a usage systemique;J01C1;Penicillines orales a large spectre;J01CA04;Amoxicilline
3400930076880;Emtricitabin tenof zen 200/245mg cpr 30;Emtricitabin tenof zen;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AR03;Tenofovir disoproxil et emtricitabine
3400930076941;Murtipa 10mg cpr 30;Murtipa;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX28;Rupatadine
3400930076972;Abacavir/lam bga 600 mg/300 mg cpr 30;Abacavir/lam bga;J05;Antiviraux a usage systemique;J05C1;Inhibiteurs de la transcriptase reverse nucleosidiques et nucleotidiques;J05AR02;Lamivudine et abacavir
3400930077078;Pravastatine bga 20mg cpr 28;Pravastatine bga;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA03;Pravastatine
3400930077115;Pravastatine bga 40mg cpr 28;Pravastatine bga;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA03;Pravastatine
3400930077214;Rupatadine bga 10 mg cpr 30;Rupatadine bga;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX28;Rupatadine
3400930077252;Rupatadine eg 10 mg cpr 15;Rupatadine eg;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX28;Rupatadine
3400930077276;Rupatadine eg 10 mg cpr 30;Rupatadine eg;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX28;Rupatadine
3400930077320;Rupatadine myl 10 mg cpr 15;Rupatadine myl;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX28;Rupatadine
